fold,seed,config,auroc_TWF,auroc_OSF,wear_r2
0,42,RandomForest,0.898372287145242,0.8021561069621779,0.7617958746338718
0,42,GradientBoosting,0.9545075125208682,0.8615695013249819,0.8241745472592839
0,42,CausalTransformer (final config),0.9365609348914858,0.9331486388821971,0.8643109798431396
0,123,RandomForest,0.6702838063439066,0.750933509997591,0.7602719209806946
0,123,GradientBoosting,0.9549248747913189,0.8615695013249819,0.823111063670714
0,123,CausalTransformer (final config),0.9056761268781301,0.9320645627559625,0.8770578503608704
0,2024,RandomForest,0.8979549248747913,0.8083895446880269,0.7736480658686293
0,2024,GradientBoosting,0.9561769616026711,0.8610274632618646,0.836204172306444
0,2024,CausalTransformer (final config),0.9303005008347245,0.9379065285473379,0.8721734285354614
1,42,RandomForest,0.9429787828029035,0.8732112794612794,0.877939095224559
1,42,GradientBoosting,0.9614740368509213,0.9134750280583614,0.8800397113798011
1,42,CausalTransformer (final config),0.9607761027359017,0.9499158249158249,0.870854914188385
1,123,RandomForest,0.9522613065326634,0.8426276655443322,0.8734025717743327
1,123,GradientBoosting,0.9617532104969291,0.9134750280583614,0.8800396737774051
1,123,CausalTransformer (final config),0.9609156895589056,0.9271184062850729,0.8803369402885437
1,2024,RandomForest,0.9423506420993858,0.8582000561167228,0.864140476855678
1,2024,GradientBoosting,0.9617532104969291,0.9135451739618407,0.8817488421509472
1,2024,CausalTransformer (final config),0.9597989949748744,0.9367283950617284,0.88153076171875
2,42,RandomForest,0.8882607481853715,0.8898684578785334,0.8635518790381813
2,42,GradientBoosting,0.9454913456169738,0.8853437820692229,0.7966300636729912
2,42,CausalTransformer (final config),0.9522613065326634,0.9043754081537456,0.8771452903747559
2,123,RandomForest,0.9669179229480737,0.8396305625524768,0.8599637431025975
2,123,GradientBoosting,0.9454913456169738,0.8850639052150387,0.7975652976559044
2,123,CausalTransformer (final config),0.9551926298157454,0.9078272226886837,0.8698415756225586
2,2024,RandomForest,0.9613344500279173,0.8831980595204776,0.8572111458894786
2,2024,GradientBoosting,0.9464684533780011,0.8848773206455827,0.7928446953554921
2,2024,CausalTransformer (final config),0.9549134561697376,0.906801007556675,0.870173454284668
3,42,RandomForest,0.9713207999042031,0.9087482419127989,0.8458165247010712
3,42,GradientBoosting,0.9556340558017004,0.9036005625879043,0.8535777401840178
3,42,CausalTransformer (final config),0.9655131122021314,0.9277074542897328,0.8691677451133728
3,123,RandomForest,0.9740150880134115,0.9057383966244725,0.8483585620646276
3,123,GradientBoosting,0.95766974015088,0.9024753867791842,0.8466912103704591
3,123,CausalTransformer (final config),0.9756915339480302,0.9238255977496483,0.8825594186782837
3,2024,RandomForest,0.9701832115914262,0.8783122362869198,0.8531474604965417
3,2024,GradientBoosting,0.9556340558017004,0.9029817158931083,0.8366326636966336
3,2024,CausalTransformer (final config),0.9683870195186205,0.9127426160337553,0.8639359474182129
4,42,RandomForest,0.9727107761027359,0.8680254034087227,0.8516839686875436
4,42,GradientBoosting,0.9500279173646008,0.8958265828526991,0.8114258215915735
4,42,CausalTransformer (final config),0.9674762702400893,0.932603201347936,0.8702908754348755
4,123,RandomForest,0.8788386376326075,0.8763203940120537,0.8519452160463993
4,123,GradientBoosting,0.9503070910106086,0.8989372043289482,0.8187038597337368
4,123,CausalTransformer (final config),0.964824120603015,0.9381115935454605,0.8725119829177856
4,2024,RandomForest,0.806462869905081,0.8711036225779277,0.8493150288781177
4,2024,GradientBoosting,0.9501675041876047,0.8993908366275679,0.817964764532398
4,2024,CausalTransformer (final config),0.9662199888330542,0.9352601905255655,0.8609652519226074
5,42,RandomForest,0.9610041841004184,0.9658577405857741,0.8942491979077949
5,42,GradientBoosting,0.9615062761506277,0.9630125523012552,0.8934406934677217
5,42,CausalTransformer (final config),0.9765690376569037,0.9467782426778242,0.8800826072692871
5,123,RandomForest,0.8668619246861925,0.9670292887029289,0.8915814152338344
5,123,GradientBoosting,0.9615062761506277,0.9630125523012552,0.893312860550507
